,Unnamed: 0,Unnamed: 0.1,name,address,type,ranking,price,direccion,comunidad,street,street_2,coordinates
395,24,24,Can Punyetes,"Calle Senores Luzon, 5, 28013 Madrid España",Mediterránea,#3.380 de 10.409 restaurantes en Madrid,€€ - €€€,Calle Senores Luzon 5 , Madrid España,Calle Senores Luzon 5,"Calle Senores Luzon 5, Madrid España","(40.4160035, -3.7106247)"
396,25,25,Saisho,"Calle Evaristo San Miguel 21 esq Ferraz, 28008 Madrid España",Japonesa,#477 de 10.409 restaurantes en Madrid,€€ - €€€,Calle Evaristo San Miguel 21 esq Ferraz , Madrid España,Calle Evaristo San Miguel 21,"Calle Evaristo San Miguel 21, Madrid España","(40.4257284, -3.7165391)"
397,26,26,Cafe Varela,"Calle Preciados 37, 28013 Madrid España",Mediterránea,#629 de 10.409 restaurantes en Madrid,€€ - €€€,Calle Preciados 37 , Madrid España,Calle Preciados 37,"Calle Preciados 37, Madrid España","(40.4196853, -3.7074213)"
398,27,27,Arrayán,"Calle Villalar 6, 28001 Madrid España",Mediterránea,#252 de 10.409 restaurantes en Madrid,€€€€,Calle Villalar 6 , Madrid España,Calle Villalar 6,"Calle Villalar 6, Madrid España","(40.4851809, -3.3514484)"
399,28,28,Cuarto y Mitad,"Calle Bolivia 21 Semiesquina Alberto Alcocer, 28016 Madrid España",Restaurante de carne,#800 de 10.409 restaurantes en Madrid,€€ - €€€,Calle Bolivia 21 Semiesquina Alberto Alcocer , Madrid España,Calle Bolivia 21,"Calle Bolivia 21, Madrid España","(40.34478274999999, -3.78155943032806)"
400,29,29,Los Rotos,"Calle Huertas 74, 28014 Madrid España",Mediterránea,#2.164 de 10.409 restaurantes en Madrid,€,Calle Huertas 74 , Madrid España,Calle Huertas 74,"Calle Huertas 74, Madrid España","(40.9189302, -3.8426781)"
401,30,30,Las Bravas,"Calle Alvarez Gato 3, 28012 Madrid España",Española,#3.041 de 10.409 restaurantes en Madrid,€,Calle Alvarez Gato 3 , Madrid España,Calle Alvarez Gato 3,"Calle Alvarez Gato 3, Madrid España","(40.4151538, -3.7019713)"
402,31,31,Bar Los Arcos Madrid,"Calle Botoneras 1, 28012 Madrid España",Española,#10.385 de 10.409 restaurantes en Madrid,€€ - €€€,Calle Botoneras 1 , Madrid España,Calle Botoneras 1,"Calle Botoneras 1, Madrid España","(40.4150529, -3.7067207)"
403,32,32,La Paella de la Reina 39,"Calle de La Reina, 39, 28004 Madrid España",Española,#1.175 de 10.409 restaurantes en Madrid,€€ - €€€,Calle de La Reina 39 , Madrid España,Calle de La Reina 39,"Calle de La Reina 39, Madrid España","(40.4196856, -3.6975503)"
404,33,33,El Barril de Goya,"C/ Goya, 86 C/ Goya 86, 28009 Madrid España",Marisco,#802 de 10.409 restaurantes en Madrid,€€€€,C/ Goya 86 C/ Goya 86 , Madrid España,C/ Goya 86 C/ Goya 86,"CalleGoya 86 CalleGoya 86, Madrid España","CalleGoya 86 CalleGoya 86, Madrid España"
405,34,34,Asador Guetaria,"Calle Del Aviador Zorita, 8, 28020 Madrid España",Mediterránea,#639 de 10.409 restaurantes en Madrid,€€€€,Calle Del Aviador Zorita 8 , Madrid España,Calle Del Aviador Zorita 8,"Calle Del Aviador Zorita 8, Madrid España","(40.447544, -3.6984193)"
406,35,35,Espacio 33,"Paseo de la Castellana 259-D, 28046 Madrid España",Mediterránea,#761 de 10.409 restaurantes en Madrid,€€€€,Paseo de la Castellana 259-D , Madrid España,Paseo de la Castellana 259,"Paseo de la Castellana 259, Madrid España","(40.475716399999996, -3.6877509967607436)"
407,36,36,Taberna Degusta,"28028 Madrid Francisco Silvela 83, 28028 Madrid España",Mediterránea,#241 de 10.409 restaurantes en Madrid,€€ - €€€,, Madrid España,,", Madrid España","(-34.5703689, -70.9912921)"
