,name,address,type,ranking,price
71,Restaurante Marina Ventura,"Calle Ventura de la Vega, 13, 28014 Madrid España",Marisco,#164 de 10.414 restaurantes en Madrid,€€ - €€€
72,Lubora Madrid Bistro,"C. Mariano Barbacid 12 Boadilla del Monte, 28660 Madrid España",Mediterránea,#278 de 10.414 restaurantes en Madrid,€€ - €€€
73,Tampu,"Calle de Prim, 13, 28004 Madrid España",Peruana,#145 de 10.414 restaurantes en Madrid,€€ - €€€
74,Docamar,"c/ Alcalá 337, 28027 Madrid España",Bar,#924 de 10.414 restaurantes en Madrid,€
75,Cebo,"Carrera de San Jeronimo, 34, 28014 Madrid España",Mediterránea,#61 de 10.409 restaurantes en Madrid,€€€€
76,Taberna Más Al Sur,"Calle Santa Isabel Nº 35, 28012 Madrid España",Mediterránea,#34 de 10.414 restaurantes en Madrid,€€ - €€€
77,La Mallorquina,"Calle Mayor 2, 28013 Madrid España",Confiterías/panaderías,N.º 28 de 477 cafeterías y teterías en Madrid,€
78,Steakburger Arenal,"Calle del Arenal 26, 28013 Madrid España",Americana,#21 de 10.409 restaurantes en Madrid,€€ - €€€
79,Pez Tortilla,"Calle del Pez, 36, 28004 Madrid España",Pub con cerveza artesanal,#507 de 10.414 restaurantes en Madrid,€
80,Mercado de la Reina,"Calle Gran Via 12., 28013 Madrid España",Bar,#496 de 10.409 restaurantes en Madrid,€€ - €€€
81,El jardin secreto,"Calle Conde Duque 2, 28015 Madrid España",Postres,N.º 41 de 319 postres en Madrid,€€ - €€€
82,Purnima Indian Restaurant,"Calle Goya 110, 28009 Madrid España",India,#110 de 10.414 restaurantes en Madrid,€€ - €€€
83,Cacao Restobar,"Calle de Moratin 19 Esquina Calle San Jose, 28014 Madrid España",Latina,#114 de 10.409 restaurantes en Madrid,€€ - €€€
84,Picsa Madrid,"Calle Ponzano, 76, 28003 Madrid España",Italiana,#736 de 10.409 restaurantes en Madrid,€€ - €€€
85,Ginkgo Restaurante & Sky Bar,"Plaza de Espana 3, 28008 Madrid España",Española,#1.557 de 10.409 restaurantes en Madrid,€€€€
86,LUX Madrid,"Calle de Jorge Juan 22, 28001 Madrid España",Mediterránea,#1.451 de 10.414 restaurantes en Madrid,€€€€
87,Miyama,"Paseo de La Castellana, 45, 28046 Madrid España",Japonesa,#223 de 10.414 restaurantes en Madrid,€€€€
88,JARDÍN SALVADOR BACHILLER,"Calle Montera 37, 28013 Madrid España",Café,#2.575 de 10.414 restaurantes en Madrid,€€ - €€€
89,Azotea del Círculo,"Calle Marqués de Casa Riera, 2 Azotea, 28014 Madrid España",Mediterránea,#1.129 de 10.414 restaurantes en Madrid,€€ - €€€
90,Oven Mozzarella Gran Vía 55,"C / Gran Vía, 55 Oven, Steakburger y Roastery, 28013 Madrid España",Italiana,#24 de 10.414 restaurantes en Madrid,€€ - €€€
91,Malacatin,"Calle Ruda 5 next to Plaza de Cascorro, 28005 Madrid España",Mediterránea,#556 de 10.414 restaurantes en Madrid,€€ - €€€
92,Azotea Forus Barceló,"Calle Barcelo, 6, 28004 Madrid España",Internacional,#123 de 10.414 restaurantes en Madrid,€€ - €€€
93,Ojala,"Calle San Andres 1, 28004 Madrid España",Bar,#903 de 10.414 restaurantes en Madrid,€€ - €€€
94,Macarena Madrid,"C/Rodio 6, 28045 Madrid España",Internacional,#2.223 de 10.409 restaurantes en Madrid,€€ - €€€
95,Casa Labra,"Calle Tetuan 12, 28013 Madrid España",Bar,#650 de 10.414 restaurantes en Madrid,€
96,Kabuki,"Avenida Presidente Carmona 2, 28020 Madrid España",Japonesa,#392 de 10.409 restaurantes en Madrid,€€€€
97,Trattoria Malatesta,"Calle Coloreros 5, 28013 Madrid España",Italiana,#221 de 10.409 restaurantes en Madrid,€€ - €€€
98,New York Burger General Yagüe,"Calle General Yague 5, 28020 Madrid España",Americana,#427 de 10.414 restaurantes en Madrid,€€ - €€€
99,Santita Fuencarral,"Calle Fuencarral 74 esquina calle Benficiencia, 28004 Madrid España",Mexicana,#71 de 10.414 restaurantes en Madrid,€€ - €€€
100,Taberna Alhambra,"Calle Victoria 9, 28012 Madrid España",Café,#522 de 10.414 restaurantes en Madrid,€€ - €€€
101,Café de Oriente,"Plaza de Oriente 2, 28013 Madrid España",Café,#1.075 de 10.414 restaurantes en Madrid,€€ - €€€
102,El Rincon de Esteban,"Calle Santa Catalina 3 Restaurante Rincon de Esteban, 28014 Madrid España",Internacional,#339 de 10.414 restaurantes en Madrid,€€ - €€€
103,Celicioso Hortaleza,"Calle Hortaleza, 3, 28004 Madrid España",Confiterías/panaderías,N.º 15 de 477 cafeterías y teterías en Madrid,€€ - €€€
104,Bosco de Lobos,"Calle Hortaleza 63, 28004 Madrid España",Italiana,#1.956 de 10.409 restaurantes en Madrid,€€ - €€€
105,Bangalore Modern Indian Cuisine,"63 Calle Diego de Leon, 28006 Madrid España",India,#214 de 10.409 restaurantes en Madrid,€€ - €€€
106,El Brillante,"Plaza Emperador Carlos V 8, 28012 Madrid España",Bar,#10.389 de 10.409 restaurantes en Madrid,€€ - €€€
107,Superchulo,"Calle Manuela Malasaña, 28004 Madrid España",Mediterránea,#472 de 10.414 restaurantes en Madrid,€€ - €€€
108,1902 Churreria Chocolateria,"Calle San Martin 2 Semi-esquina con la calle Arenal, 18, 28013 Madrid España",Postres,N.º 8 de 477 cafeterías y teterías en Madrid,€€ - €€€
109,Bel Mondo,"Calle de Velazquez 39, 28001 Madrid España",Italiana,#637 de 10.409 restaurantes en Madrid,€€ - €€€
110,Yokaloka,"Calle de Santa Isabel, 5 Mercado de Antón Martín, 28012 Madrid España",Japonesa,#356 de 10.409 restaurantes en Madrid,€€ - €€€
111,La Finca de Susana,"Calle Principe, 10 Calle del Principe, 10, 28012 Madrid España",Mediterránea,#1.685 de 10.414 restaurantes en Madrid,€€ - €€€
112,Pizzeria Vesuvio -Hortaleza,"Calle Hortaleza 4, 28004 Madrid España",Italiana,#297 de 10.409 restaurantes en Madrid,€
113,Lhardy,"Carrera San Jeronimo 8, 28014 Madrid España",Mediterránea,#1.421 de 10.414 restaurantes en Madrid,€€€€
114,El Club Allard,"Calle de Ferraz, 2, 28008 Madrid España",Internacional,#243 de 10.414 restaurantes en Madrid,€€€€
115,Cappuccino Madrid,"Plaza Independencia 5, 28001 Madrid España",Comida rápida,#2.205 de 10.409 restaurantes en Madrid,€€ - €€€
116,Clos Madrid,"Calle de Raimundo Fernández Villaverde 28, 28003 Madrid España",Mediterránea,#314 de 10.414 restaurantes en Madrid,€€€€
117,Gourmet Experience Gran Vía,"Plaza Callao 2, 28013 Madrid España",Japonesa,#563 de 10.409 restaurantes en Madrid,€€ - €€€
118,Gustos Madrid Plaza Mayor,"Plaza Mayor 8, 28005 Madrid España",Mediterránea,#425 de 10.409 restaurantes en Madrid,€€ - €€€
119,Doli Indian Restaurant,"Calle Diego de León, 13, 28006 Madrid España",India,#218 de 10.409 restaurantes en Madrid,€€ - €€€
120,Arahy,"Calle Alcala 58, 28014 Madrid España",Mediterránea,#276 de 10.414 restaurantes en Madrid,€€€€
121,Pampa Beef,"Calle Principe 3, 28014 Madrid España",Restaurante de carne,#40 de 10.409 restaurantes en Madrid,€
122,New York Burger Castellana,"Paseo Castellana 89, 28046 Madrid España",Americana,#574 de 10.414 restaurantes en Madrid,€€ - €€€
123,Charrúa Madrid,"Calle del Conde de Xiquena 4 Cruce con calle Almirante, 28004 Madrid España",Restaurante de carne,#691 de 10.409 restaurantes en Madrid,€€€€
124,Ándele Ponzano,"Calle Raimundo Fernandez Villaverde 26, 28003 Madrid España",Mexicana,#84 de 10.414 restaurantes en Madrid,€€ - €€€
125,Goiko - María de Molina 20,"Maria de Molina, 20, 28006 Madrid España",Americana,#1.033 de 10.409 restaurantes en Madrid,€€ - €€€
126,Beerhouse Madrid,"Calle del Cardenal Cisneros nr. 16, 28010 Madrid España",Pub con cerveza artesanal,#3.661 de 10.409 restaurantes en Madrid,€€ - €€€
127,La Ancha,"Calle Principe de Vergara 204, 28002 Madrid España",Mediterránea,#398 de 10.414 restaurantes en Madrid,€€ - €€€
128,Diurno Restaurante & Bar,"C/ San Marcos, 37 28004 Madrid- Chueca, 28004 Madrid España",Internacional,#524 de 10.409 restaurantes en Madrid,€€ - €€€
129,Paco Roncero Restaurante,"Calle Alcala 15, 28014 Madrid España",Mediterránea,#266 de 10.409 restaurantes en Madrid,€€€€
130,O'Pazo,"Calle Reina Mercedes 20, 28020 Madrid España",Marisco,#429 de 10.414 restaurantes en Madrid,€€€€
131,Salmon Guru,"Calle Echegaray No 21, 28014 Madrid España",Bar,#106 de 10.409 restaurantes en Madrid,€€ - €€€
132,Numa Pompilio Restaurante,"Calle Velazquez 18, 28001 Madrid España",Italiana,#2.812 de 10.409 restaurantes en Madrid,€€€€
133,Restaurante Volvoreta,"Paseo de la Castellana 259-B Eurostars Madrid Tower Hotel, 28029 Madrid España",Mediterránea,#436 de 10.409 restaurantes en Madrid,€€€€
134,Parrilla El Gaucho,"Calle Tetuan 34, 28013 Madrid España",Restaurante de carne,#311 de 10.414 restaurantes en Madrid,€€ - €€€
135,Ogrelo,"Calle Menorca 39 Semiesquina Fernán Gonzalez, 28009 Madrid España",Marisco,#295 de 10.409 restaurantes en Madrid,€€€€
136,Casa Dani,"Calle Ayala 28, 28001 Madrid España",Café,#539 de 10.414 restaurantes en Madrid,€
